student_id,timestamp,reading_speed_wpm,pronunciation_accuracy,listening_score,reading_score,speaking_score,engagement_level,eye_tracking_focus_duration,gesture_interaction_count,emotion_state,teacher_id,teaching_experience_years,teaching_style,adaptive_score,student_feedback_score,real_time_adjustments_made,session_id,device_type_used,network_latency_ms,sensor_error_rate,content_type_displayed,content_difficulty_level,recommendation_used,performance_improvement_rate,personalized_content_effectiveness
S046,2024-06-08 05:43:00,117.45071229516849,83.61735698828815,92,57,70,Low,285.95079751659983,11,Focused,T05,2,Mixed,72.6586304305082,4.116547619529872,0,SESS5541,Tablet,51.179946123435,1.0111109133059917,Text,Hard,0,7.861035431983273,0
S046,2024-03-10 00:06:00,102.02273884672658,83.8252449822865,65,64,96,Medium,211.42021841072392,9,Bored,T06,14,Mixed,89.86980958047201,3.699873074947044,0,SESS9521,Tablet,59.47439821046639,0.6991466938853015,Video,Easy,0,19.261390922544688,0
S036,2024-04-30 13:17:00,109.797541628931,74.422890710441,96,84,63,Medium,228.41050623065445,13,Bored,T15,10,Mixed,70.90948098276068,3.769267140912908,4,SESS8002,Smart Board,50.666572785086245,1.3729297709127155,Game,Hard,0,0.8170838034122383,0
S114,2024-06-15 18:53:00,118.46696357832704,85.25500668081348,70,65,94,Medium,346.4220250100209,9,Happy,T19,13,Mixed,69.6185833833704,4.162041984697398,0,SESS1004,Smart Board,46.14917719583684,1.2910613973565197,Text,Easy,0,14.438742297966789,0
S014,2024-05-14 23:13:00,123.41498495163142,92.54997797244737,54,91,88,Low,339.7370708171437,14,Confused,T09,1,Mixed,77.41122162587129,3.911133939364672,3,SESS7476,Laptop,45.896166913136994,0.4810850617422589,Quiz,Medium,1,9.620981274859073,0
S131,2024-11-09 16:36:00,124.5944530063368,92.9559546389594,75,63,88,Low,290.967968504413,10,Focused,T12,4,Mixed,65.34442328105025,3.890164056081244,2,SESS9106,AR Glass,53.57112571511746,0.8939192891441867,Quiz,Medium,0,7.865656029801386,0
S052,2024-09-15 10:35:00,117.52172497287208,96.58186652932028,55,77,77,Low,275.114121935672,14,Happy,T03,7,Mixed,61.012591183941424,3.8709076007318304,1,SESS5083,AR Glass,54.60955615420293,0.3253050133834955,Text,Easy,1,4.904636073159649,0
S078,2024-12-28 16:44:00,111.90518359057695,72.50556277200073,86,82,91,Medium,327.17617959201056,8,Confused,T18,9,Visual,73.33939091648935,3.668630843310893,1,SESS4326,Tablet,48.53527193258384,1.543363511519637,Text,Easy,0,15.02493440351316,0
S025,2024-04-27 04:00:00,103.3735096516098,84.15834914818822,81,82,50,High,265.517447543196,7,Happy,T18,11,Visual,70.78501779660117,3.3390615246832804,4,SESS9394,Tablet,43.31753300867588,0.7785988275471789,Video,Easy,1,11.89113307370426,0
S076,2024-09-09 10:36:00,139.00759701392178,85.80970805944567,52,69,85,Medium,300.54866074440827,7,Happy,T18,9,Kinesthetic,71.34460703167457,3.5402878828830984,1,SESS2536,Smart Board,65.4993440501754,0.6083733538318814,Game,Easy,1,8.389692418971622,0
